Labels:,Bumphead,Parrotfish,Diadema
74,0,0,0
66,1,0,0
105,0,0,2
30,0,19,4
120,0,4,4
12,0,15,2
45,0,4,3
76,0,11,74
33,0,18,1
94,0,6,0
38,0,7,1
76,0,0,4
64,0,3,4
12,0,0,45
17,0,0,1
30,0,12,22
34,0,7,17
58,0,4,9
20,0,3,7
42,0,12,0
20,0,0,152
102,0,0,0
60,0,0,0
25,0,29,157
91,1,1,5
66,0,4,0
0,0,0,210
6,0,12,27
17,2,0,2
19,0,0,0
57,0,24,574
38,0,3,0
48,2,4,0
56,0,9,0
32,0,0,19
20,0,16,20
70,0,6,0
18,0,6,5
18,0,0,0
72,1,10,0
19,0,0,2
44,2,13,2
1,0,0,0
57,0,7,9
57,0,2,1
65,1,11,0
86,0,2,0
92,0,2,0
32,0,0,22
38,0,2,0
52,0,15,3
72,0,3,7
89,0,10,0
56,0,21,3
93,0,3,10
63,0,11,25
64,0,38,26
14,0,9,2
61,0,0,18
88,6,7,1
98,0,1,3
2,0,0,0
45,0,8,66
16,1,7,3
44,0,0,0
32,0,0,7
12,0,27,18
34,0,1,3
19,0,0,7
18,0,1,4
77,0,5,0
64,0,0,0
17,0,8,0
39,0,7,1
57,0,0,0
84,3,3,9
76,5,0,8
76,0,2,0
66,0,5,2
36,0,14,0
53,0,0,65
41,6,0,4
88,6,0,41
19,0,12,2
80,1,12,20
79,0,2,2
101,0,3,0
14,0,0,0
128,0,6,0
54,0,10,1
52,0,5,6
135,3,3,0
7,0,9,0
70,0,3,0
93,0,8,3
84,0,2,0
73,0,12,3
17,1,0,8
90,1,0,46
37,0,0,10
41,0,10,1
57,1,7,0
74,0,0,0
87,0,0,2
10,0,9,65
21,0,0,0
28,0,5,0
28,1,4,0
70,0,3,2
18,0,5,0
29,0,0,0
93,0,11,71
102,1,6,1
35,6,1,2
97,0,5,0
122,0,0,11
58,0,2,0
66,0,4,0
87,0,245,28
46,0,10,5
47,0,0,4
83,0,1,0
16,0,1,22
54,0,0,58
111,0,2,1
50,0,2,0
54,5,0,0
43,0,41,0
78,0,30,4
64,0,1,1
78,3,0,0
72,0,0,2
38,0,18,1
29,0,12,1
68,0,12,6
64,0,6,4
79,4,0,0
34,0,1,0
49,0,1,0
28,10,0,14
21,2,1,6
47,0,13,4
41,0,0,879
60,0,0,0
143,2,3,0
41,1,4,30
71,0,0,0
74,7,2,2
58,0,3,13
19,0,8,4
53,0,4,83
8,0,12,43
16,0,1,0
79,0,13,0
84,0,9,2
112,0,10,1
49,0,10,31
88,0,16,0
69,0,2,0
53,0,6,1
61,0,2,0
14,0,8,0
62,0,0,79
12,0,11,152
43,81,0,0
0,5,0,15
17,0,3,0
48,4,10,0
48,0,6,1
47,4,2,5
46,0,18,5
81,1,18,1
61,0,26,0
106,0,6,43
16,0,7,31
19,0,5,0
7,0,4,25
21,0,2,8
67,1,1,0
22,0,0,0
44,0,2,3
43,5,16,1
71,0,7,2
70,0,0,2
61,0,6,0
114,0,5,2
44,1,26,28
51,0,3,9
37,12,7,1
56,0,1,0
91,0,12,16
64,0,9,0
81,0,6,9
69,3,0,22
27,0,1,0
74,0,14,1
39,0,14,31
60,0,5,0
56,0,8,0
21,0,5,0
91,0,2,12
76,0,0,4
16,15,0,3
43,0,3,0
31,0,6,0
42,0,4,0
100,0,3,0
115,0,13,0
13,0,2,7
82,0,11,19
28,2,14,0
109,0,6,1
66,0,10,46
74,0,12,33
73,0,0,1
33,0,2,15
36,0,6,5
53,2,1,0
28,0,6,21
17,0,10,72
